"","OTU","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","Genus","top.group"
"94","Otu00008","S2136",0.932666666666667,"S2136","sample","362","High","Pavona_varians","TF","6.0","11","C27","","2136","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"188","Otu00012","S420",0.910666666666667,"S420","sample","354","Ambient","Pavona_varians","TF","4.1","4","C27","","420","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","abund"
"71","Otu00008","S1108",0.895,"S1108","sample","362","High","Pavona_varians","T0","6.0","9","C27","","1108","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"207","Otu00012","S1982",0.749333333333333,"S1982","sample","351","High","Pavona_varians","T0","4.6","3","C27","","1982","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","abund"
"61","Otu00008","S1068",0.695,"S1068","sample","356","High","Pavona_varians","T1","5.0","3","C1","","1068","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"10","Otu00001","S3478",0.613,"S3478","sample","361","High","Pavona_varians","T1","6.8","6","C1","","3478","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"146","Otu00011","S761",0.57,"S761","sample","355","Ambient","Pavona_varians","T1","3.8","1","C27","","761","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"152","Otu00011","S616",0.568666666666667,"S616","sample","355","High","Pavona_varians","T0","3.8","2","C27","","616","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"348","Otu00027","S1526",0.550333333333333,"S1526","sample","358","High","Pavona_varians","TF","4.8","11","C1","","1526","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagales_unclassified","Cytophagales_unclassified","abund"
"66","Otu00008","S148",0.527666666666667,"S148","sample","356","High","Pavona_varians","T0","5.0","7","C1","","148","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"133","Otu00011","S3246",0.503333333333333,"S3246","sample","353","High","Pavona_varians","T1","3.6","2","C1","","3246","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"214","Otu00012","SN217",0.483,"SN217","sample","361","Ambient","Pavona_varians","TF","6.8","8","C1","","N217","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","abund"
"523","Otu00044","S1037",0.48,"S1037","sample","358","Ambient","Pavona_varians","TF","4.8","9","C1","","1037","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagales_unclassified","Cytophagales_unclassified","abund"
"95","Otu00008","S471",0.472,"S471","sample","356","Ambient","Pavona_varians","TF","5.0","9","C1","","471","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
