"","otu_genus","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","top.group"
"47","Otu00008-Endozoicomonas","S1068",0.695,"S1068","sample","356","High","Pavona_varians","T1","5.0","3","C1","","1068","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"11","Otu00001-Endozoicomonas","S3478",0.613,"S3478","sample","361","High","Pavona_varians","T1","6.8","6","C1","","3478","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"74","Otu00011-Candidatus_Amoebophilus","S761",0.57,"S761","sample","355","Ambient","Pavona_varians","T1","3.8","1","C27","","761","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","abund"
"79","Otu00011-Candidatus_Amoebophilus","S3246",0.503333333333333,"S3246","sample","353","High","Pavona_varians","T1","3.6","2","C1","","3246","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","abund"
"131","Otu00041-Rhodobacteraceae_unclassified","S1943",0.466666666666667,"S1943","sample","358","High","Pavona_varians","T1","4.8","7","C1","","1943","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","abund"
"126","Otu00039-uncultured","SN108b",0.385666666666667,"SN108b","sample","353","Ambient","Pavona_varians","T1","3.6","9","C1","","N108","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Helicobacteraceae","abund"
"177","Otu00067-Acrophormium_PCC-7375","S1144",0.341666666666667,"S1144","sample","358","Ambient","Pavona_varians","T1","4.8","8","C1","","1144","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae","abund"
"198","Otu00085-Fulvivirga","S3137",0.270666666666667,"S3137","sample","359","High","Pavona_varians","T1","2.0","2","C27",NA,"3137","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","abund"
"34","Otu00002-Endozoicomonas","S3478",0.266,"S3478","sample","361","High","Pavona_varians","T1","6.8","6","C1","","3478","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"44","Otu00008-Endozoicomonas","S1857",0.196333333333333,"S1857","sample","362","High","Pavona_varians","T1","6.0","2","C27","","1857","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"61","Otu00008-Endozoicomonas","SN222",0.173,"SN222","sample","356","Ambient","Pavona_varians","T1","5.0","8","C1","","N222","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"92","Otu00030-Fulvivirga","S1254",0.161,"S1254","sample","362","Ambient","Pavona_varians","T1","6.0","1","C27","","1254","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","abund"
"78","Otu00011-Candidatus_Amoebophilus","S3137",0.159333333333333,"S3137","sample","359","High","Pavona_varians","T1","2.0","2","C27",NA,"3137","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","abund"
"72","Otu00011-Candidatus_Amoebophilus","S249",0.142666666666667,"S249","sample","360","Ambient","Pavona_varians","T1","2.0","5","C27","","249","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","abund"
"153","Otu00053-Tistlia","S2911",0.132333333333333,"S2911","sample","351","High","Pavona_varians","T1","4.6","6","C27","","2911","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Kiloniellaceae","abund"
"69","Otu00011-Candidatus_Amoebophilus","S2629",0.124666666666667,"S2629","sample","355","High","Pavona_varians","T1","3.8","3","C27","","2629","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","abund"
"81","Otu00011-Candidatus_Amoebophilus","S2911",0.109,"S2911","sample","351","High","Pavona_varians","T1","4.6","6","C27","","2911","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","abund"
