"","OTU","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","Genus","top.group"
"8","Otu00001","SN64",0.467333333333333,"SN64","sample","366","High","Montipora_capitata","T0","7.0","6","CD","","N64","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"33","Otu00078","SN38",0.134666666666667,"SN38","sample","371","Ambient","Montipora_capitata","T0","3.4","8","C","","N38","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"7","Otu00001","SN38",0.0423333333333333,"SN38","sample","371","Ambient","Montipora_capitata","T0","3.4","8","C","","N38","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"23","Otu00073","SN33",0.0293333333333333,"SN33","sample","364","High","Montipora_capitata","T0","6.0","7","CD","","N33","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"32","Otu00078","SN21",0.0243333333333333,"SN21","sample","372","Ambient","Montipora_capitata","T0","5.6","1","C","","N21","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"12","Otu00062","SN9",0.0233333333333333,"SN9","sample","363","High","Montipora_capitata","T0","5.4","11","C","","N9","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"30","Otu00073","SN21",0.023,"SN21","sample","372","Ambient","Montipora_capitata","T0","5.6","1","C","","N21","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"22","Otu00073","SN9",0.0226666666666667,"SN9","sample","363","High","Montipora_capitata","T0","5.4","11","C","","N9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"2","Otu00001","SN9",0.0213333333333333,"SN9","sample","363","High","Montipora_capitata","T0","5.4","11","C","","N9","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"36","Otu00078","SN33",0.015,"SN33","sample","364","High","Montipora_capitata","T0","6.0","7","CD","","N33","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"35","Otu00078","SN9",0.014,"SN9","sample","363","High","Montipora_capitata","T0","5.4","11","C","","N9","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"16","Otu00062","SN21",0.013,"SN21","sample","372","Ambient","Montipora_capitata","T0","5.6","1","C","","N21","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"46","Otu00104","SN9",0.0113333333333333,"SN9","sample","363","High","Montipora_capitata","T0","5.4","11","C","","N9","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
"37","Otu00078","SN64",0.0103333333333333,"SN64","sample","366","High","Montipora_capitata","T0","7.0","6","CD","","N64","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"14","Otu00062","SN38",0.009,"SN38","sample","371","Ambient","Montipora_capitata","T0","3.4","8","C","","N38","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"27","Otu00073","SN94",0.00766666666666667,"SN94","sample","367","High","Montipora_capitata","T0","5.8","2","C","","N94","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"28","Otu00073","SN64",0.00733333333333333,"SN64","sample","366","High","Montipora_capitata","T0","7.0","6","CD","","N64","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"39","Otu00078","S1753b",0.00566666666666667,"S1753b","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"13","Otu00062","SN94",0.005,"SN94","sample","367","High","Montipora_capitata","T0","5.8","2","C","","N94","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"4","Otu00001","S1753",0.00433333333333333,"S1753","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"47","Otu00104","SN94",0.00366666666666667,"SN94","sample","367","High","Montipora_capitata","T0","5.8","2","C","","N94","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
"6","Otu00001","SN94",0.00333333333333333,"SN94","sample","367","High","Montipora_capitata","T0","5.8","2","C","","N94","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"11","Otu00062","SN33",0.00333333333333333,"SN33","sample","364","High","Montipora_capitata","T0","6.0","7","CD","","N33","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"20","Otu00062","SN72",0.00333333333333333,"SN72","sample","368","High","Montipora_capitata","T0","3.7","7","CD","","N72","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"42","Otu00104","SN21",0.00333333333333333,"SN21","sample","372","Ambient","Montipora_capitata","T0","5.6","1","C","","N21","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
"29","Otu00073","SN82",0.003,"SN82","sample","373","Ambient","Montipora_capitata","T0","5.3","5","C","","N82","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"9","Otu00001","SN82",0.00266666666666667,"SN82","sample","373","Ambient","Montipora_capitata","T0","5.3","5","C","","N82","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"24","Otu00073","SN38",0.00266666666666667,"SN38","sample","371","Ambient","Montipora_capitata","T0","3.4","8","C","","N38","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"31","Otu00078","SN82",0.00266666666666667,"SN82","sample","373","Ambient","Montipora_capitata","T0","5.3","5","C","","N82","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"21","Otu00073","S1753",0.00233333333333333,"S1753","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"43","Otu00104","SN38",0.002,"SN38","sample","371","Ambient","Montipora_capitata","T0","3.4","8","C","","N38","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
"19","Otu00062","S1753b",0.00133333333333333,"S1753b","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"25","Otu00073","SN72",0.00133333333333333,"SN72","sample","368","High","Montipora_capitata","T0","3.7","7","CD","","N72","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"34","Otu00078","S1753",0.00133333333333333,"S1753","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"5","Otu00001","S1753b",0.001,"S1753b","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"48","Otu00104","SN72",0.001,"SN72","sample","368","High","Montipora_capitata","T0","3.7","7","CD","","N72","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
"45","Otu00104","S1753",0.000333333333333333,"S1753","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
"50","Otu00104","SN82",0.000333333333333333,"SN82","sample","373","Ambient","Montipora_capitata","T0","5.3","5","C","","N82","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
"1","Otu00001","SN21",0,"SN21","sample","372","Ambient","Montipora_capitata","T0","5.6","1","C","","N21","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"3","Otu00001","SN33",0,"SN33","sample","364","High","Montipora_capitata","T0","6.0","7","CD","","N33","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"10","Otu00001","SN72",0,"SN72","sample","368","High","Montipora_capitata","T0","3.7","7","CD","","N72","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"15","Otu00062","SN82",0,"SN82","sample","373","Ambient","Montipora_capitata","T0","5.3","5","C","","N82","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"17","Otu00062","SN64",0,"SN64","sample","366","High","Montipora_capitata","T0","7.0","6","CD","","N64","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"18","Otu00062","S1753",0,"S1753","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"26","Otu00073","S1753b",0,"S1753b","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"38","Otu00078","SN72",0,"SN72","sample","368","High","Montipora_capitata","T0","3.7","7","CD","","N72","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"40","Otu00078","SN94",0,"SN94","sample","367","High","Montipora_capitata","T0","5.8","2","C","","N94","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"41","Otu00104","SN33",0,"SN33","sample","364","High","Montipora_capitata","T0","6.0","7","CD","","N33","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
"44","Otu00104","SN64",0,"SN64","sample","366","High","Montipora_capitata","T0","7.0","6","CD","","N64","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
"49","Otu00104","S1753b",0,"S1753b","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonadaceae_unclassified","core"
