Frag.ID,Parent.ID,Treatment,Species,Time.Point,Depth,Tank.num,
N9,363,High,Montipora_capitata,T0,5.4,11,
N184,363,Ambient,Montipora_capitata,T1,5.4,9,
1791,363,High,Montipora_capitata,T1,5.4,6,
N183,363,Ambient,Montipora_capitata,TF,5.4,1,
335,363,High,Montipora_capitata,TF,5.4,11,
N33,364,High,Montipora_capitata,T0,6,7,
N63,364,Ambient,Montipora_capitata,T1,6,4,
N150,364,High,Montipora_capitata,T1,6,11,
N42,364,Ambient,Montipora_capitata,TF,6,5,
3470,364,High,Montipora_capitata,TF,6,2,
N40,365,High,Montipora_capitata,T0,6.7,3,
797,365,Ambient,Montipora_capitata,T1,6.7,1,
2285,365,High,Montipora_capitata,T1,6.7,2,
1104,365,Ambient,Montipora_capitata,TF,6.7,4,
2018,365,High,Montipora_capitata,TF,6.7,3,
N64,366,High,Montipora_capitata,T0,7,6,
N126,366,Ambient,Montipora_capitata,T1,7,4,
N127,366,Ambient,Montipora_capitata,T1,7,9,REMOVE
N190,366,High,Montipora_capitata,T1,7,2,
N141,366,High,Montipora_capitata,TF,7,3,
N94,367,High,Montipora_capitata,T0,5.8,2,
848,367,Ambient,Montipora_capitata,T1,5.8,5,
3479,367,High,Montipora_capitata,T1,5.8,3,
N208,367,Ambient,Montipora_capitata,TF,5.8,8,
1437,367,High,Montipora_capitata,TF,5.8,6,
N72,368,High,Montipora_capitata,T0,3.7,7,
N92,368,Ambient,Montipora_capitata,T1,3.7,8,
1133,368,High,Montipora_capitata,T1,3.7,11,
N96,368,Ambient,Montipora_capitata,TF,3.7,9,
619,368,High,Montipora_capitata,TF,3.7,2,
N11,369,Ambient,Montipora_capitata,T0,3.3,1,
N45,369,Ambient,Montipora_capitata,T1,3.3,1,
179,369,High,Montipora_capitata,T1,3.3,2,
N110,369,Ambient,Montipora_capitata,TF,3.3,4,
2284,369,High,Montipora_capitata,TF,3.3,6,
1753,370,Ambient,Montipora_capitata,T0,3.7,9,
419,370,Ambient,Montipora_capitata,T1,3.7,5,
1388,370,High,Montipora_capitata,T1,3.7,7,
1226,370,Ambient,Montipora_capitata,TF,3.7,9,
3204,370,High,Montipora_capitata,TF,3.7,11,
N38,371,Ambient,Montipora_capitata,T0,3.4,8,
153,371,Ambient,Montipora_capitata,T1,3.4,9,
670,371,High,Montipora_capitata,T1,3.4,7,
N223,371,Ambient,Montipora_capitata,TF,3.4,8,
840,371,High,Montipora_capitata,TF,3.4,11,
N21,372,Ambient,Montipora_capitata,T0,5.6,1,
3472,372,High,Montipora_capitata,T1,5.6,3,
3317,372,Ambient,Montipora_capitata,TF,5.6,1,
N49,372,Ambient,Montipora_capitata,T1,5.6,4,
3149,372,High,Montipora_capitata,T1,5.6,9,
3473,372,High,Montipora_capitata,TF,5.6,6,
N82,373,Ambient,Montipora_capitata,T0,5.3,5,
N192,373,Ambient,Montipora_capitata,T1,5.3,8,
3482,373,High,Montipora_capitata,T1,5.3,3,
377,373,Ambient,Montipora_capitata,TF,5.3,5,
3422,373,High,Montipora_capitata,TF,5.3,7,
N145,374,Ambient,Montipora_capitata,T0,3.2,4,
N172,374,Ambient,Montipora_capitata,T1,3.2,5,
3469,374,High,Montipora_capitata,T1,3.2,6,
N152,374,Ambient,Montipora_capitata,TF,3.2,8,
N212,374,High,Montipora_capitata,TF,3.2,7,
914,325,High,Pavona_varians,T0,2.6,11,
1418,325,Ambient,Pavona_varians,T1,2.6,4,
1441,325,High,Pavona_varians,T1,2.6,7,
955,325,Ambient,Pavona_varians,TF,2.6,9,
1803,325,High,Pavona_varians,TF,2.6,11,
1982,351,High,Pavona_varians,T0,4.6,3,
2424,351,Ambient,Pavona_varians,T1,4.6,1,
2911,351,High,Pavona_varians,T1,4.6,6,
2214,351,Ambient,Pavona_varians,TF,4.6,8,
2948,351,High,Pavona_varians,TF,4.6,7,
N35,353,Ambient,Pavona_varians,T0,3.6,11,
N108,353,Ambient,Pavona_varians,T1,3.6,9,
3246,353,High,Pavona_varians,T1,3.6,2,
N191,353,Ambient,Pavona_varians,TF,3.6,4,
2731,353,High,Pavona_varians,TF,3.6,3,
208,354,Ambient,Pavona_varians,T0,4.1,6,
554,354,Ambient,Pavona_varians,T1,4.1,1,
2001,354,High,Pavona_varians,T1,4.1,11,
420,354,Ambient,Pavona_varians,TF,4.1,4,
1166,354,High,Pavona_varians,TF,4.1,2,
616,355,High,Pavona_varians,T0,3.8,2,
761,355,Ambient,Pavona_varians,T1,3.8,1,
2629,355,High,Pavona_varians,T1,3.8,3,
1556,355,Ambient,Pavona_varians,TF,3.8,4,
2663,355,High,Pavona_varians,TF,3.8,7,
148,356,High,Pavona_varians,T0,5,7,
N222,356,Ambient,Pavona_varians,T1,5,8,
1068,356,High,Pavona_varians,T1,5,3,
471,356,Ambient,Pavona_varians,TF,5,9,
3383,356,High,Pavona_varians,TF,5,6,
391,357,Ambient,Pavona_varians,T0,4.7,9,
436,357,Ambient,Pavona_varians,T1,4.7,4,
490,357,High,Pavona_varians,T1,4.7,2,
422,357,Ambient,Pavona_varians,TF,4.7,8,
1413,357,High,Pavona_varians,TF,4.7,11,
488,358,Ambient,Pavona_varians,T0,4.8,5,
1144,358,Ambient,Pavona_varians,T1,4.8,8,
1943,358,High,Pavona_varians,T1,4.8,7,
1037,358,Ambient,Pavona_varians,TF,4.8,9,
1526,358,High,Pavona_varians,TF,4.8,11,
231,359,Ambient,Pavona_varians,T0,2,9,
1573,359,Ambient,Pavona_varians,T1,2,5,
3137,359,High,Pavona_varians,T1,2,2,
1736,359,Ambient,Pavona_varians,TF,2,9,
2328,359,High,Pavona_varians,TF,2,3,
N84,360,High,Pavona_varians,T0,2,8,
249,360,Ambient,Pavona_varians,T1,2,5,
2849,360,High,Pavona_varians,T1,2,3,
832,360,Ambient,Pavona_varians,TF,2,1,
3474,360,High,Pavona_varians,TF,2,6,
263,361,Ambient,Pavona_varians,T0,6.8,1,
664,361,Ambient,Pavona_varians,T1,6.8,5,
3478,361,High,Pavona_varians,T1,6.8,6,
N217,361,Ambient,Pavona_varians,TF,6.8,8,
775,361,High,Pavona_varians,TF,6.8,7,
1108,362,High,Pavona_varians,T0,6,9,
1254,362,Ambient,Pavona_varians,T1,6,1,
1857,362,High,Pavona_varians,T1,6,2,
1240,362,Ambient,Pavona_varians,TF,6,4,REMOVE
1688,362,Ambient,Pavona_varians,TF,6,5,
2136,362,High,Pavona_varians,TF,6,11,
N18,301,High,Pocillopora_acuta,T0,4.9,3,
N209,301,Ambient,Pocillopora_acuta,T1,4.9,4,
3059,301,High,Pocillopora_acuta,T1,4.9,6,
1061,301,Ambient,Pocillopora_acuta,TF,4.9,5,
2879,301,High,Pocillopora_acuta,TF,4.9,7,
N109,302,High,Pocillopora_acuta,T0,4.6,2,
785,302,Ambient,Pocillopora_acuta,T1,4.6,1,
2142,302,High,Pocillopora_acuta,T1,4.6,3,
1279,302,Ambient,Pocillopora_acuta,TF,4.6,4,
1771,302,High,Pocillopora_acuta,TF,4.6,2,
N111,303,High,Pocillopora_acuta,T0,4.9,2,
3035,303,Ambient,Pocillopora_acuta,T1,4.9,9,
3513,303,High,Pocillopora_acuta,T1,4.9,2,
3164,303,Ambient,Pocillopora_acuta,TF,4.9,8,
3487,303,High,Pocillopora_acuta,TF,4.9,6,
915,304,High,Pocillopora_acuta,T0,6.4,6,
3085,304,High,Pocillopora_acuta,T1,6.4,2,
1195,304,Ambient,Pocillopora_acuta,T1,6.4,4,
3081,304,Ambient,Pocillopora_acuta,TF,6.4,1,
3484,304,High,Pocillopora_acuta,TF,6.4,3,
N87,305,High,Pocillopora_acuta,T0,6.1,3,
N198,305,Ambient,Pocillopora_acuta,T1,6.1,9,
314,305,High,Pocillopora_acuta,T1,6.1,6,
N169,305,Ambient,Pocillopora_acuta,TF,6.1,5,
473,305,High,Pocillopora_acuta,TF,6.1,7,
