Frag.ID,Parent.ID,Treatment,Species,Time.Point,Depth,Tank.num,Notes,ID
S1110,321,High,Porites_compressa,T1,1.3,3,Dup,S1110
S1110B,321,High,Porites_compressa,T1,1.3,3,Dup,S1110B
S1166,354,High,Pavona_varians,TF,4.1,2,Dup,S1166
S1166b,354,High,Pavona_varians,TF,4.1,2,Dup,S1166b
S1388,370,High,Montipora_capitata,T1,3.7,7,Dup,S1388
S1388a,370,High,Montipora_capitata,T1,3.7,7,Dup,S1388a
S1388b,370,High,Montipora_capitata,T1,3.7,7,Dup,S1388b
S1857,362,High,Pavona_varians,T1,6,2,Dup,S1857
S1857b,362,High,Pavona_varians,T1,6,2,Dup,S1857b
S3085,304,High,Pocillopora_acuta,T1,6.4,2,Dup,S3085
S3085b,304,High,Pocillopora_acuta,T1,6.4,2,Dup,S3085b
S3149,372,High,Montipora_capitata,T1,5.6,9,Dup,S3149
S3149b,372,High,Montipora_capitata,T1,5.6,9,Dup,S3149b
S3477a,312,High,Pocillopora_acuta,T1,5.8,3,Dup,S3477a
S3477b,312,High,Pocillopora_acuta,T1,5.8,3,Dup,S3477b
S761,355,Ambient,Pavona_varians,T1,3.8,1,Dup,S761
S761b,355,Ambient,Pavona_varians,T1,3.8,1,Dup,S761b
S775b,361,High,Pavona_varians,TF,6.8,7,Dup,S775b
SN134,319,High,Porites_compressa,T1,3.1,2,Dup,SN134
SN134b,319,High,Porites_compressa,T1,3.1,2,Dup,SN134b
SN192,373,Ambient,Montipora_capitata,T1,5.3,8,Dup,SN192
SN192b,373,Ambient,Montipora_capitata,T1,5.3,8,Dup,SN192b
SN198,305,Ambient,Pocillopora_acuta,T1,6.1,9,Dup,SN198
SN198b,305,Ambient,Pocillopora_acuta,T1,6.1,9,Dup,SN198b
SN209,301,Ambient,Pocillopora_acuta,T1,4.9,4,Dup,SN209
SN209b,301,Ambient,Pocillopora_acuta,T1,4.9,4,Dup,SN209b
SN217b,361,Ambient,Pavona_varians,TF,6.8,8,Dup,SN217b
SN49,317,High,Porites_compressa,T0,2.2,2,Dup,S49
SN49b,372,Ambient,Montipora_capitata,T1,5.6,4,Dup,SN49
SN127,366,Ambient,Montipora_capitata,T1,7,9,REMOVE,SN127
S1037,358,Ambient,Pavona_varians,TF,4.8,9,,S1037
S1061,301,Ambient,Pocillopora_acuta,TF,4.9,5,,S1061
S1068,356,High,Pavona_varians,T1,5,3,,S1068
S1104,365,Ambient,Montipora_capitata,TF,6.7,4,,S1104
S1108,362,High,Pavona_varians,T0,6,9,,S1108
S1133,368,High,Montipora_capitata,T1,3.7,11,,S1133
S1144,358,Ambient,Pavona_varians,T1,4.8,8,,S1144
S1195,304,Ambient,Pocillopora_acuta,T1,6.4,4,,S1195
S1226,370,Ambient,Montipora_capitata,TF,3.7,9,,S1226
S1254,362,Ambient,Pavona_varians,T1,6,1,,S1254
S1279,302,Ambient,Pocillopora_acuta,TF,4.6,4,,S1279
S1413,357,High,Pavona_varians,TF,4.7,11,,S1413
S1418,325,Ambient,Pavona_varians,T1,2.6,4,,S1418
S1437,367,High,Montipora_capitata,TF,5.8,6,,S1437
S1441,325,High,Pavona_varians,T1,2.6,7,,S1441
S1443,308,Ambient,Pocillopora_acuta,T1,6.7,5,,S1443
S148,356,High,Pavona_varians,T0,5,7,,S148
S1502,322,High,Porites_compressa,TF,1.5,7,,S1502
S1526,358,High,Pavona_varians,TF,4.8,11,,S1526
S153,371,Ambient,Montipora_capitata,T1,3.4,9,,S153
S1556,355,Ambient,Pavona_varians,TF,3.8,4,,S1556
S1573,359,Ambient,Pavona_varians,T1,2,5,,S1573
S1688,362,Ambient,Pavona_varians,TF,6,5,,S1688
S1736,359,Ambient,Pavona_varians,TF,2,9,,S1736
S1753,370,Ambient,Montipora_capitata,T0,3.7,9,,S1753
S1771,302,High,Pocillopora_acuta,TF,4.6,2,,S1771
S179,369,High,Montipora_capitata,T1,3.3,2,,S179
S1791,363,High,Montipora_capitata,T1,5.4,6,,S1791
S1803,325,High,Pavona_varians,TF,2.6,11,,S1803
S1895,312,Ambient,Pocillopora_acuta,T1,5.8,1,,S1895
S1943,358,High,Pavona_varians,T1,4.8,7,,S1943
S1982,351,High,Pavona_varians,T0,4.6,3,,S1982
S199,317,Ambient,Porites_compressa,T1,2.2,4,,S199
S2001,354,High,Pavona_varians,T1,4.1,11,,S2001
S2018,365,High,Montipora_capitata,TF,6.7,3,,S2018
S208,354,Ambient,Pavona_varians,T0,4.1,6,,S208
S2136,362,High,Pavona_varians,TF,6,11,,S2136
S2142,302,High,Pocillopora_acuta,T1,4.6,3,,S2142
S2214,351,Ambient,Pavona_varians,TF,4.6,8,,S2214
S2226,312,Ambient,Pocillopora_acuta,TF,5.8,8,,S2226
S226,324,High,Porites_compressa,T1,0.8,7,,S226
S2284,369,High,Montipora_capitata,TF,3.3,6,,S2284
S2286,315,Ambient,Porites_compressa,T1,2.5,1,,S2286
