"","X","otu_genus","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","top.group"
"1",65,"Otu00058-Prosthecochloris","S619",0.601,"S619","sample",368,"High","Montipora_capitata","TF",3.7,2,"CD","","619","Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","differential"
"2",48,"Otu00058-Prosthecochloris","S3473",0.145666666666667,"S3473","sample",372,"High","Montipora_capitata","TF",5.6,6,"C","","3473","Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","differential"
"3",11,"Otu00025-Ruegeria","S335",0.138333333333333,"S335","sample",363,"High","Montipora_capitata","TF",5.4,11,"C","","335","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"4",13,"Otu00025-Ruegeria","S3482",0.0756666666666667,"S3482","sample",373,"High","Montipora_capitata","T1",5.3,3,"C","","3482","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"5",41,"Otu00025-Ruegeria","SN172",0.0746666666666667,"SN172","sample",374,"Ambient","Montipora_capitata","T1",3.2,5,"CD","","N172","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"6",49,"Otu00058-Prosthecochloris","S3470",0.0543333333333333,"S3470","sample",364,"High","Montipora_capitata","TF",6,2,"CD","","3470","Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","differential"
"7",164,"Otu00092-uncultured","S3473",0.0536666666666667,"S3473","sample",372,"High","Montipora_capitata","TF",5.6,6,"C","","3473","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"8",9,"Otu00025-Ruegeria","S153",0.0453333333333333,"S153","sample",371,"Ambient","Montipora_capitata","T1",3.4,9,"C","","153","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"9",19,"Otu00025-Ruegeria","SN192",0.0443333333333333,"SN192","sample",373,"Ambient","Montipora_capitata","T1",5.3,8,"C","","N192","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"10",16,"Otu00025-Ruegeria","S3470",0.0436666666666667,"S3470","sample",364,"High","Montipora_capitata","TF",6,2,"CD","","3470","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"11",30,"Otu00025-Ruegeria","S848",0.0413333333333333,"S848","sample",367,"Ambient","Montipora_capitata","T1",5.8,5,"C","","848","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"12",152,"Otu00092-uncultured","S3470",0.0336666666666667,"S3470","sample",364,"High","Montipora_capitata","TF",6,2,"CD","","3470","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"13",26,"Otu00025-Ruegeria","S2284",0.033,"S2284","sample",369,"High","Montipora_capitata","TF",3.3,6,"CD","","2284","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"14",34,"Otu00025-Ruegeria","SN184",0.0326666666666667,"SN184","sample",363,"Ambient","Montipora_capitata","T1",5.4,9,"C","","N184","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"15",195,"Otu00102-Pseudoalteromonas","S153",0.03,"S153","sample",371,"Ambient","Montipora_capitata","T1",3.4,9,"C","","153","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"16",138,"Otu00092-uncultured","S335",0.0246666666666667,"S335","sample",363,"High","Montipora_capitata","TF",5.4,11,"C","","335","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"17",170,"Otu00092-uncultured","SN184",0.0236666666666667,"SN184","sample",363,"Ambient","Montipora_capitata","T1",5.4,9,"C","","N184","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"18",120,"Otu00062-Alteromonas","SN9",0.0233333333333333,"SN9","sample",363,"High","Montipora_capitata","T0",5.4,11,"C","","N9","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"19",42,"Otu00025-Ruegeria","SN49",0.0226666666666667,"SN49","sample",372,"Ambient","Montipora_capitata","T1",5.6,4,"C","","N49","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"20",24,"Otu00025-Ruegeria","S797",0.0216666666666667,"S797","sample",365,"Ambient","Montipora_capitata","T1",6.7,1,"CD","","797","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"21",8,"Otu00025-Ruegeria","S1753b",0.0163333333333333,"S1753b","sample",370,"Ambient","Montipora_capitata","T0",3.7,9,"C","Yes","1753","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"22",22,"Otu00025-Ruegeria","S3472",0.0156666666666667,"S3472","sample",372,"High","Montipora_capitata","T1",5.6,3,"C","","3472","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"23",117,"Otu00062-Alteromonas","SN110",0.0146666666666667,"SN110","sample",369,"Ambient","Montipora_capitata","TF",3.3,4,"CD","","N110","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"24",46,"Otu00058-Prosthecochloris","S2284",0.0143333333333333,"S2284","sample",369,"High","Montipora_capitata","TF",3.3,6,"CD","","2284","Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","differential"
"25",122,"Otu00062-Alteromonas","S3473",0.0136666666666667,"S3473","sample",372,"High","Montipora_capitata","TF",5.6,6,"C","","3473","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"26",119,"Otu00062-Alteromonas","SN21",0.013,"SN21","sample",372,"Ambient","Montipora_capitata","T0",5.6,1,"C","","N21","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"27",36,"Otu00025-Ruegeria","SN45",0.012,"SN45","sample",369,"Ambient","Montipora_capitata","T1",3.3,1,"CD","","N45","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"28",205,"Otu00102-Pseudoalteromonas","SN192",0.0116666666666667,"SN192","sample",373,"Ambient","Montipora_capitata","T1",5.3,8,"C","","N192","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"29",147,"Otu00092-uncultured","S797",0.0113333333333333,"S797","sample",365,"Ambient","Montipora_capitata","T1",6.7,1,"CD","","797","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"30",193,"Otu00102-Pseudoalteromonas","SN184",0.0113333333333333,"SN184","sample",363,"Ambient","Montipora_capitata","T1",5.4,9,"C","","N184","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"31",15,"Otu00025-Ruegeria","S1753",0.0106666666666667,"S1753","sample",370,"Ambient","Montipora_capitata","T0",3.7,9,"C","Yes","1753","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"32",10,"Otu00025-Ruegeria","S3469",0.00933333333333333,"S3469","sample",374,"High","Montipora_capitata","T1",3.2,6,"CD","","3469","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"33",145,"Otu00092-uncultured","S153",0.00933333333333333,"S153","sample",371,"Ambient","Montipora_capitata","T1",3.4,9,"C","","153","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"34",162,"Otu00092-uncultured","S2284",0.00933333333333333,"S2284","sample",369,"High","Montipora_capitata","TF",3.3,6,"CD","","2284","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"35",118,"Otu00062-Alteromonas","S797",0.009,"S797","sample",365,"Ambient","Montipora_capitata","T1",6.7,1,"CD","","797","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"36",127,"Otu00062-Alteromonas","SN38",0.009,"SN38","sample",371,"Ambient","Montipora_capitata","T0",3.4,8,"C","","N38","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"37",143,"Otu00092-uncultured","S3479",0.00866666666666667,"S3479","sample",367,"High","Montipora_capitata","T1",5.8,3,"C","","3479","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"38",101,"Otu00062-Alteromonas","SN184",0.00766666666666667,"SN184","sample",363,"Ambient","Montipora_capitata","T1",5.4,9,"C","","N184","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"39",125,"Otu00062-Alteromonas","SN152",0.00766666666666667,"SN152","sample",374,"Ambient","Montipora_capitata","TF",3.2,8,"CD","","N152","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"40",203,"Otu00102-Pseudoalteromonas","S848",0.00766666666666667,"S848","sample",367,"Ambient","Montipora_capitata","T1",5.8,5,"C","","848","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"41",141,"Otu00092-uncultured","S619",0.00733333333333333,"S619","sample",368,"High","Montipora_capitata","TF",3.7,2,"CD","","619","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"42",172,"Otu00092-uncultured","SN45",0.00733333333333333,"SN45","sample",369,"Ambient","Montipora_capitata","T1",3.3,1,"CD","","N45","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"43",197,"Otu00102-Pseudoalteromonas","S797",0.00733333333333333,"S797","sample",365,"Ambient","Montipora_capitata","T1",6.7,1,"CD","","797","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"44",218,"Otu00102-Pseudoalteromonas","SN92",0.00733333333333333,"SN92","sample",368,"Ambient","Montipora_capitata","T1",3.7,8,"CD","","N92","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"45",113,"Otu00062-Alteromonas","SN192",0.007,"SN192","sample",373,"Ambient","Montipora_capitata","T1",5.3,8,"C","","N192","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","differential"
"46",158,"Otu00092-uncultured","S3472",0.00666666666666667,"S3472","sample",372,"High","Montipora_capitata","T1",5.6,3,"C","","3472","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"47",168,"Otu00092-uncultured","SN92",0.00666666666666667,"SN92","sample",368,"Ambient","Montipora_capitata","T1",3.7,8,"CD","","N92","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
"48",38,"Otu00025-Ruegeria","SN94",0.00566666666666667,"SN94","sample",367,"High","Montipora_capitata","T0",5.8,2,"C","","N94","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","differential"
"49",156,"Otu00092-uncultured","S1791",0.00566666666666667,"S1791","sample",363,"High","Montipora_capitata","T1",5.4,6,"C","","1791","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","differential"
